16 22106 83718
0 0 -385.99 387.12
1 0 -38.44 492.12
2 0 -667.92 123.11
7 0 -599.18 407.93
12 0 -720.43 314.34
13 0 -115.13 55.49
0 1 383.88 -15.3
1 1 559.75 -106.15
10 1 353.19 164.95
0 2 591.55 136.44
1 2 863.86 -23.47
2 2 494.72 112.52
6 2 408.78 284.67
7 2 424.61 310.17
9 2 284.89 192.89
10 2 582.62 363.72
12 2 494.06 293.95
13 2 796.83 -78.53
15 2 779.89 408.25
0 3 592.5 125.75
1 3 861.08 -35.22
2 3 498.54 101.56
6 3 412.31 272.92
7 3 426.73 299.59
8 3 468.38 55.12
9 3 287.95 183.94
10 3 584.05 350.97
12 3 497.32 282.51
15 3 781.95 393.26
0 4 348.72 558.38
1 4 776.03 483.53
2 4 7.78003 326.35
3 4 -137.24 -7.79999
5 4 750.07 -78.72
6 4 -116.09 664.22
8 4 87.05 256.31
9 4 -147.19 357.8
11 4 456.92 -197.16
13 4 463.58 241.03
14 4 648.25 -159.57
0 5 14.01 96.42
1 5 207.13 118.36
3 5 18.59 -206.8
4 5 -209.53 -421.76
5 5 635.09 -561.62
6 5 -67.38 125.83
7 5 -90.81 209.36
8 5 125.18 45.24
9 5 -20.72 179.92
10 5 -87.2 255.02
13 5 367.26 -140.34
15 5 -28.14 270.52
0 6 202.76 340.99
1 6 543.18 294.81
2 6 -58.42 110.83
6 6 -197.08 369.31
9 6 -191.66 169.38
10 6 109.59 566.25
12 6 -45.34 365.6
13 6 369.87 47.93
14 6 537.6 -395.3
0 7 27.85 63.41
1 7 207.67 82.59
3 7 57.06 -224.6
4 7 -232.1 -433.7
5 7 662.83 -597.74
6 7 -30.61 97.17
7 7 -67.69 180.03
8 7 154.11 27.48
10 7 -66.97 217.35
12 7 -11.44 151.79
13 7 388.11 -165.83
15 7 -5.02002 227.42
0 8 -27.5 97.88
1 8 170.2 131.02
3 8 -33.18 -226.34
4 8 -205.11 -388.32
5 8 580.32 -563.41
6 8 -124.53 110.21
7 8 -135.03 201.45
8 8 81.46 30.72
10 8 -135.97 252.68
12 8 -97.39 164.67
13 8 325.92 -144.4
15 8 -83.91 266.91
0 9 -287.87 424.55
1 9 66.49 504.6
5 9 116.77 -229.68
8 9 -386.05 120.35
11 9 -107.96 -333.57
13 9 -37.58 91.18
14 9 32.29 -321.24
0 10 205.78 479.18
1 10 591.8 435.47
3 10 -243.48 -93.79
5 10 607.81 -167.18
7 10 -26.39 567.91
14 10 513.88 -248.94
0 11 -310.54 376.33
1 11 33 463.47
2 11 -590.9 107.88
7 11 -520.58 404.79
8 11 -404.3 73.11
11 11 -129.62 -375.54
12 11 -631.33 312.14
13 11 -56.97 49.44
14 11 6.10998 -371.89
0 12 -216.88 -486.16
1 12 -178.04 -368.3
0 13 -313.27 404.41
1 13 36.88 491.24
7 13 -527.23 433.96
10 13 -512.18 593.13
11 13 -130.62 -352.43
12 13 -638.95 346.4
0 14 -446.68 221.62
1 14 -135.11 348.66
5 14 -64.96 -450.49
7 14 -638.51 224.2
10 14 -649.23 359.27
11 14 -260.3 -514.9
0 15 -394.8 308.64
1 15 -64.62 418.67
5 15 -3.28003 -353.99
7 15 -598.04 322.92
8 15 -476.11 1.82001
10 15 -598.17 468.72
11 15 -207.25 -435.32
13 15 -127.16 -14.4
14 15 -84.52 -447.56
15 15 -604.15 506.44
0 16 -370.51 327.1
1 16 -36.82 430.6
5 16 23.47 -334.68
7 16 -575.47 345.45
8 16 -455.15 20.5
10 16 -571.17 493.77
11 16 -185.19 -419.24
12 16 -693.74 240.19
15 16 -573.82 535.48
0 17 -553.47 437.56
1 17 -185.37 578.73
11 17 -336.72 -318.96
0 18 -434.14 427.44
1 18 -75.43 542.44
2 18 -723.17 173.14
